9.90 14.50 16.00 12.32 13.92 0
11.20 10.50 12.25 15.50 14.28 0
9.60 16.00 17.00 10.27 10.04 0
10.80 18.00 11.00 15.49 12.72 0
9.90 13.00 14.00 10.21 14.35 0
14.10 14.00 13.25 17.08 14.51 0
12.40 13.75 20.00 18.31 11.81 0
8.00 6.50 12.50 6.86 10.36 0
13.00 16.00 17.00 12.29 16.25 0
14.40 17.25 15.00 16.64 16.98 0
10.20 13.50 13.00 8.37 10.82 1
11.20 11.00 10.50 8.72 11.96 0
10.50 11.50 16.00 15.85 15.75 0
9.50 12.50 8.25 9.52 13.88 1
11.00 19.00 13.80 13.70 13.00 0
12.60 17.00 12.00 14.88 14.90 0
10.60 16.00 10.63 8.04 15.55 1
13.40 18.00 17.00 16.73 14.71 0
9.10 10.50 15.00 10.92 10.05 1
10.00 12.00 10.13 11.66 13.86 1
12.10 10.50 14.00 11.60 14.95 1
12.20 14.00 13.50 13.20 14.04 0
15.40 18.00 15.25 16.90 13.58 0
12.40 15.50 13.00 11.25 12.21 1
9.90 14.50 10.50 10.51 10.77 0
11.80 16.00 12.25 12.85 13.16 1
13.50 17.00 20.00 10.51 12.93 0
8.60 4.00 7.25 13.03 13.73 0
6.10 11.50 8.00 7.03 15.49 0
11.90 9.50 8.63 8.71 16.32 0
12.00 17.50 20.00 11.50 12.66 0
17.00 17.00 16.50 11.06 11.93 0
11.60 17.75 17.50 13.73 14.77 0
15.40 19.00 20.00 16.03 15.08 0
14.00 20.00 17.00 17.68 17.46 0
10.10 18.00 10.50 11.50 13.60 0
11.30 15.50 10.00 12.68 9.90 0
12.40 13.00 12.50 13.74 12.93 0
9.80 15.50 8.50 10.41 13.18 0
9.60 11.50 11.00 8.71 14.75 0
14.50 17.50 18.25 19.01 14.92 0
10.50 13.50 10.00 8.00 13.40 1
8.80 13.00 9.00 14.79 12.74 0
11.60 16.50 14.00 13.18 12.95 0
10.40 16.50 10.25 15.14 17.58 0
10.10 15.00 10.50 14.08 13.44 0
12.70 8.25 13.25 12.68 15.57 0
10.90 16.00 20.00 13.03 14.24 0
11.00 14.25 16.00 13.66 10.00 0
8.40 10.00 9.50 8.45 11.04 0
4.70 11.00 13.00 8.45 15.11 1
8.50 14.50 10.25 7.08 14.30 0
10.20 13.25 13.50 15.49 11.99 0
14.90 19.00 16.50 17.78 15.59 0
17.10 19.50 20.00 16.73 13.58 0
15.60 18.00 15.00 13.92 14.24 0
7.70 6.25 8.00 7.53 13.27 0
10.10 10.25 10.50 12.50 13.86 1
7.80 5.00 5.00 2.93 11.00 0
10.30 13.50 16.75 16.90 12.86 0
11.20 12.00 13.00 10.30 10.65 0
9.10 9.00 12.00 11.09 11.83 0
12.20 17.00 18.50 18.52 12.76 0
5.30 5.00 6.50 10.92 9.91 0
7.20 9.75 9.88 9.09 12.27 1
18.10 16.50 18.00 14.96 13.70 0
14.90 18.50 19.00 19.72 13.71 0
12.50 14.00 20.00 19.37 15.25 0
11.10 12.50 12.00 11.35 13.65 1
9.20 14.00 12.80 9.40 16.10 1
12.00 17.00 20.00 16.55 13.04 1
7.40 14.00 12.50 9.15 15.18 0
14.10 14.00 14.25 14.26 13.14 0
9.80 14.00 10.13 14.26 13.89 0
11.60 15.75 13.50 11.53 13.89 1
10.10 15.00 10.00 8.78 12.33 0
14.40 16.50 20.00 14.79 14.86 1
5.70 12.50 12.00 11.99 17.01 0
14.40 16.50 15.00 13.73 13.81 0
14.60 15.00 13.50 15.14 14.88 0
15.00 11.75 15.50 14.44 13.29 0
13.10 17.00 14.75 17.34 16.63 0
6.00 11.00 16.00 9.30 13.05 1
10.20 12.00 9.00 10.56 15.42 1
13.90 18.00 16.00 12.15 10.77 0
9.40 13.50 14.50 10.48 12.94 1
11.90 7.00 8.75 10.38 12.00 0
